,Dfpr,Dfnr,accuracy,a
0,0.0005860351276349984,-0.03891721117254254,0.6432520325203253,[0.15432099 0.78395062 0.94444444 0.5       ]
1,0.01833212562520986,0.012569857339261192,0.6448780487804878,[0.16666667 0.53703704 0.5        2.83333333]
2,-0.044111312139226366,0.014895416110369375,0.6347967479674796,[0.0308642  0.72222222 0.5        0.45061728]
3,-0.06863708487886422,0.04821210530076836,0.6465040650406504,[0.06790123 0.87037037 0.5        0.16666667]
4,-0.0719402499978039,0.031027341013936227,0.6396747967479675,[0.05555556 0.94444444 0.38888889 0.16666667]
